取引日,出金金額（円）,入金金額（円）,海外出金金額,通貨,変換レート（円）,利用国,取引内容,取引先,取引方法,支払い区分,利用者,取引番号
2026/03/31 16:33:49,"2,075",-,-,-,-,-,支払い,西友 - 川崎神明店,"PayPayポイント (120円), PayPay残高 (1,955円)",-,-,04946057099723620354
2026/03/31 16:33:40,-,"3,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02234908734470889501
2026/03/30 16:53:30,720,-,-,-,-,-,支払い,西友 - 川崎神明店,"PayPayポイント (138円), PayPay残高 (582円)",-,-,04945325074086633473
2026/03/30 02:07:15,490,-,-,-,-,-,支払い,ファミリーマート - 矢向,PayPay残高,-,-,04944868304315285504
2026/03/29 20:27:05,424,-,-,-,-,-,支払い,ファミリーマート - 矢向,PayPay残高,-,-,04944692983750328320
2026/03/29 19:44:39,"4,515",-,-,-,-,-,支払い,ラゾーナ川崎プラザ,PayPay残高,-,-,04944671113776742400
2026/03/29 19:44:31,-,"5,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02233522765704232961
2026/03/29 19:00:23,"7,990",-,-,-,-,-,支払い,ラゾーナ川崎プラザ,PayPay残高,-,-,04944648290320777219
2026/03/29 14:57:05,"6,861",-,-,-,-,-,支払い,西友 - 川崎神明店,PayPay残高,-,-,04944522903045799938
2026/03/29 14:56:49,-,"10,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02233374477663346702
2026/03/29 13:58:47,"36,064",-,-,-,-,-,支払い,ニトリ - ニトリ横浜鶴見店,PayPay残高,-,-,04944492855454089219
2026/03/29 13:58:44,-,"40,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02233344541741293584
2026/03/29 12:21:24,"3,058",-,-,-,-,-,支払い,はま寿司 - まち～クプラザ尻手店,"PayPayポイント (2円), PayPay残高 (3,056円)",-,-,04944442655876661251
2026/03/29 12:21:16,-,"3,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02233294316393734167
2026/03/29 12:20:52,-,"1,500",-,-,-,JP,受け取った金額,ゆち,PayPay残高,-,-,02233294101645262858
2026/03/28 22:26:14,980,-,-,-,-,-,支払い,麺屋あびすけ - 矢向店,PayPay残高,-,-,04944012222843502595
2026/03/28 22:26:09,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02232863900541296641
2026/03/28 14:43:29,548,-,-,-,-,-,支払い,ファミリーマート - 矢向,PayPay残高,-,-,04943773723310407680
2026/03/28 05:34:07,160,-,-,-,-,-,支払い,ファミリーマート - 新宿歌舞伎町一番街,"PayPayポイント (30円), PayPay残高 (130円)",-,-,04943490581885730816
2026/03/27 22:55:47,"5,522",-,-,-,-,-,支払い,一軒め酒場 - 西武新宿前,PayPay残高,-,-,04943285282449235968
2026/03/27 22:55:37,-,"6,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02232136917196750850
2026/03/27 17:11:58,417,-,-,-,-,-,支払い,西友 - 川崎神明店,"PayPayポイント (14円), PayPay残高 (403円)",-,-,04943108072098316290
2026/03/27 01:05:16,577,-,-,-,-,-,支払い,ファミリーマート - 矢向,PayPay残高,-,-,04942609838712832000
2026/03/26 19:12:00,280,-,-,-,-,-,支払い,ドトールコーヒー - ＤＣＳ・矢向駅前店,PayPay残高,-,-,04942427766458908681
2026/03/26 17:14:25,801,-,-,-,-,-,支払い,ファミリーマート - 矢向,PayPay残高,-,-,04942367164470435841
2026/03/26 12:20:15,699,-,-,-,-,-,支払い,セブン-イレブン - 横浜矢向,PayPay残高,-,-,04942215552124395529
2026/03/26 12:17:29,531,-,-,-,-,-,支払い,ファミリーマート - 矢向,PayPay残高,-,-,04942214134785400834
2026/03/26 11:56:03,"16,365",-,-,-,-,-,支払い,MUSINSA,"PayPayポイント (42円), PayPay残高 (16,323円)",-,-,04942203088129884164
2026/03/26 11:56:02,-,"20,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02231054800186433536
2026/03/25 23:34:18,324,-,-,-,-,-,支払い,ファミリーマート - 矢向,PayPay残高,-,-,04941820793090760705
2026/03/25 23:34:15,-,"1,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02230672479377072135
2026/03/25 19:45:08,930,-,-,-,-,-,支払い,セブン-イレブン - 横浜矢向,PayPay残高,-,-,04941702681489481730
2026/03/25 19:15:58,"5,000",-,-,-,-,-,支払い,Zina - 川崎店,PayPay残高,-,-,04941687640514600965
2026/03/25 19:15:47,-,"2,000",-,-,-,-,チャージ,PayPay,ゆうちょ銀行 *****41,-,-,02230539266671910946
2026/03/25 12:20:36,595,-,-,-,-,-,支払い,セブン-イレブン - 横浜矢向,"PayPayポイント (250円), PayPay残高 (345円)",-,-,04941473570754519041
2026/03/24 23:22:46,-,10,-,-,-,-,ポイント、残高の獲得,西友,PayPayポイント,-,-,04941072669916659715
2026/03/24 23:22:46,"1,188",-,-,-,-,-,支払い,西友 - 川崎神明店,PayPay残高,-,-,04941072669916659715
